50.0263,0.00E+00
50.0273,3.00E+00
50.0284,8.00E+00
50.0294,9.00E+00
50.0304,2.50E+01
50.0315,5.00E+00
50.0325,0.00E+00
50.0335,1.50E+01
50.0346,1.30E+01
50.0356,2.20E+01
50.0367,3.20E+01
50.0377,2.40E+01
50.0387,2.00E+01
50.0398,4.20E+01
50.0408,1.80E+01
50.0418,2.30E+01
50.0429,2.30E+01
50.0439,5.00E+01
50.045,4.00E+01
50.046,4.70E+01
50.047,4.80E+01
50.0481,6.60E+01
50.0491,5.90E+01
50.0501,3.80E+01
50.0512,3.30E+01
50.0522,3.70E+01
50.0533,3.60E+01
50.0543,7.30E+01
50.0553,5.70E+01
50.0564,5.70E+01
50.0574,8.70E+01
50.0584,7.20E+01
50.0595,4.10E+01
50.0605,5.90E+01
50.0616,9.30E+01
50.0626,4.80E+01
50.0636,6.20E+01
50.0647,6.00E+01
50.0657,7.80E+01
50.0667,7.10E+01
50.0678,7.80E+01
50.0688,8.00E+01
50.0699,7.00E+01
50.0709,7.20E+01
50.0719,5.40E+01
50.073,6.60E+01
50.074,6.80E+01
50.075,7.10E+01
50.0761,7.70E+01
50.0771,1.07E+02
50.0781,1.16E+02
50.0792,8.00E+01
50.0802,6.80E+01
50.0813,3.70E+01
50.0823,6.40E+01
50.0833,8.80E+01
50.0844,8.50E+01
50.0854,4.80E+01
50.0864,4.20E+01
50.0875,6.90E+01
50.0885,1.08E+02
50.0896,8.10E+01
50.0906,8.80E+01
50.0916,1.04E+02
50.0927,6.40E+01
50.0937,6.90E+01
50.0948,7.20E+01
50.0958,6.00E+01
50.0968,7.20E+01
50.0979,6.70E+01
50.0989,6.90E+01
50.0999,8.80E+01
50.101,6.20E+01
50.102,7.70E+01
50.1031,1.38E+02
50.1041,9.10E+01
50.1051,7.90E+01
50.1062,8.30E+01
50.1072,9.50E+01
50.1082,4.40E+01
50.1093,4.80E+01
50.1103,6.50E+01
50.1114,8.30E+01
50.1124,9.10E+01
50.1134,9.00E+01
50.1145,4.40E+01
50.1155,4.70E+01
50.1165,4.70E+01
50.1176,1.02E+02
50.1186,9.50E+01
50.1197,6.30E+01
50.1207,8.30E+01
50.1217,7.70E+01
50.1228,6.70E+01
50.1238,5.80E+01
50.1248,7.80E+01
50.1259,8.20E+01
50.1269,6.70E+01
50.128,5.80E+01
50.129,5.30E+01
50.13,4.40E+01
50.1311,7.80E+01
50.1321,9.50E+01
50.1332,7.00E+01
50.1342,5.00E+01
50.1352,3.00E+01
50.1363,4.40E+01
50.1373,9.30E+01
50.1383,9.20E+01
50.1394,5.10E+01
50.1404,6.40E+01
50.1415,6.80E+01
50.1425,6.40E+01
50.1435,7.20E+01
50.1446,3.50E+01
50.1456,7.70E+01
50.1466,8.10E+01
50.1477,3.20E+01
50.1487,5.20E+01
50.1498,3.70E+01
50.1508,5.90E+01
50.1518,7.60E+01
50.1529,9.50E+01
50.1539,6.00E+01
50.155,4.50E+01
50.156,5.40E+01
50.157,6.70E+01
50.1581,4.00E+01
50.1591,7.10E+01
50.1601,6.20E+01
50.1612,8.10E+01
50.1622,7.40E+01
50.1633,6.30E+01
50.1643,8.50E+01
50.1653,9.70E+01
50.1664,8.80E+01
50.1674,7.80E+01
