wavelength,Fe3+,Fe3+ - Bisabolol,Fe2+ - Bisabolol,Fe2+ - Bisabolol - CO
608,0.025646,0.053827,0.036593,0.025101
607,0.026324,0.054402,0.036585,0.02568
606,0.026772,0.053989,0.037172,0.026121
605,0.027241,0.054615,0.036968,0.026013
604,0.027285,0.054809,0.037303,0.026365
603,0.028053,0.055438,0.03805,0.026799
602,0.028729,0.055845,0.038491,0.026578
601,0.028992,0.056348,0.03841,0.026847
600,0.030443,0.058198,0.039961,0.028133
599,0.030661,0.058182,0.040115,0.028743
598,0.031529,0.058192,0.04051,0.028659
597,0.032206,0.059321,0.040615,0.029385
596,0.033231,0.059793,0.04127,0.030766
595,0.033853,0.060192,0.041747,0.030693
594,0.035029,0.06117,0.042827,0.03229
593,0.036235,0.061901,0.04292,0.033601
592,0.037122,0.06271,0.043477,0.034501
591,0.03899,0.063623,0.044151,0.035892
590,0.041434,0.065238,0.045323,0.038084
589,0.04264,0.06634,0.045858,0.038913
588,0.044235,0.067151,0.046484,0.040736
587,0.045973,0.068589,0.046999,0.042773
586,0.048025,0.070201,0.048264,0.044199
585,0.050637,0.071893,0.049261,0.047227
584,0.052994,0.073109,0.049897,0.049612
583,0.055018,0.074279,0.050008,0.05104
582,0.057262,0.075725,0.050642,0.053614
581,0.059279,0.076758,0.051655,0.056384
580,0.06229,0.077825,0.052547,0.059506
579,0.063988,0.079255,0.05327,0.062811
578,0.066766,0.080844,0.054815,0.066289
577,0.068968,0.082223,0.055077,0.069434
576,0.071393,0.083233,0.056135,0.072994
575,0.07344,0.084474,0.057323,0.076248
574,0.074708,0.085972,0.058225,0.079319
573,0.076258,0.087034,0.059214,0.081915
572,0.077931,0.087537,0.060565,0.084388
571,0.078834,0.088572,0.060847,0.085778
570,0.079523,0.089023,0.062009,0.087701
569,0.080608,0.089729,0.063012,0.088551
568,0.080539,0.090034,0.064978,0.089551
567,0.080912,0.090201,0.066066,0.089699
566,0.080496,0.089936,0.066713,0.089058
565,0.080668,0.090652,0.068432,0.089871
564,0.080255,0.09065,0.069902,0.089761
563,0.079515,0.090147,0.070826,0.089573
562,0.079194,0.090901,0.072357,0.089485
561,0.07848,0.09059,0.073198,0.088665
560,0.077711,0.090042,0.073916,0.088986
559,0.077527,0.090622,0.075119,0.088956
558,0.076648,0.090697,0.07553,0.088511
557,0.07642,0.091484,0.076657,0.08881
556,0.076834,0.091942,0.077629,0.089416
555,0.076539,0.092381,0.078008,0.089455
554,0.076506,0.092625,0.078656,0.089478
553,0.07676,0.093796,0.079542,0.090091
552,0.07721,0.094457,0.080071,0.090886
551,0.0768,0.094468,0.080612,0.09052
550,0.077486,0.095438,0.081358,0.09125
549,0.077958,0.096085,0.081844,0.091449
548,0.078653,0.096393,0.082166,0.091607
547,0.079647,0.097926,0.082783,0.092579
546,0.080827,0.099258,0.083892,0.093769
545,0.081557,0.099566,0.084006,0.094055
544,0.081859,0.10042,0.084472,0.094067
543,0.082937,0.101432,0.085573,0.094398
542,0.08354,0.101831,0.085692,0.094169
541,0.084389,0.102811,0.086246,0.094698
540,0.084903,0.103311,0.086686,0.094726
539,0.085698,0.103675,0.086751,0.094148
538,0.085826,0.104046,0.087301,0.094132
537,0.085567,0.104002,0.087112,0.092789
536,0.085897,0.104713,0.087022,0.091963
535,0.085908,0.104573,0.087205,0.091071
534,0.085706,0.104845,0.087496,0.089739
533,0.08512,0.104494,0.087611,0.088611
532,0.084431,0.103906,0.08688,0.087233
531,0.084091,0.1044,0.086619,0.085637
530,0.083087,0.103761,0.086628,0.084286
529,0.082873,0.104038,0.087308,0.083033
528,0.081822,0.104293,0.087368,0.081806
527,0.081234,0.103916,0.08699,0.079895
526,0.080314,0.103652,0.08742,0.078649
525,0.079015,0.103799,0.08733,0.076656
524,0.077779,0.102962,0.087079,0.075361
523,0.076079,0.102174,0.086122,0.073087
522,0.07508,0.101964,0.086502,0.072479
521,0.074544,0.101663,0.086686,0.070537
520,0.073525,0.101252,0.086678,0.069629
519,0.071799,0.101292,0.086502,0.068462
518,0.070595,0.100806,0.086345,0.067178
517,0.069723,0.100173,0.086342,0.065956
516,0.069012,0.100362,0.086634,0.065221
515,0.06744,0.099813,0.0862,0.064131
514,0.066544,0.099556,0.08614,0.063689
513,0.065682,0.098794,0.085775,0.062692
512,0.065452,0.098491,0.086374,0.062663
511,0.064082,0.098422,0.086049,0.061947
510,0.063457,0.098427,0.086034,0.061796
509,0.062105,0.097323,0.085875,0.061025
508,0.06215,0.097483,0.086123,0.061409
507,0.06127,0.097574,0.086073,0.060932
506,0.060831,0.097069,0.085446,0.060473
505,0.06016,0.09616,0.085424,0.060464
504,0.060112,0.096222,0.085503,0.060452
503,0.059552,0.095971,0.085924,0.060455
502,0.059519,0.095962,0.086248,0.060662
501,0.059359,0.095707,0.086574,0.060672
500,0.059023,0.095092,0.086058,0.060735
499,0.059375,0.096138,0.08681,0.061711
498,0.059249,0.095763,0.086837,0.061622
497,0.058899,0.09522,0.086846,0.061956
496,0.058643,0.094704,0.08636,0.061862
495,0.05906,0.094793,0.08682,0.062545
494,0.058925,0.094783,0.086895,0.06324
493,0.059275,0.094417,0.087142,0.063476
492,0.059016,0.094621,0.087173,0.063852
491,0.059551,0.094329,0.087295,0.064701
490,0.059807,0.094345,0.087356,0.06554
489,0.059725,0.094117,0.087624,0.065962
488,0.059879,0.094668,0.087742,0.066982
487,0.060008,0.094233,0.088111,0.067729
486,0.060064,0.093559,0.088067,0.068317
485,0.061527,0.094559,0.089129,0.070048
484,0.061549,0.094343,0.089713,0.071207
483,0.06177,0.094371,0.09008,0.072446
482,0.062534,0.094935,0.090933,0.074053
481,0.063339,0.095803,0.092034,0.075699
480,0.064505,0.096559,0.092778,0.07713
479,0.064895,0.096156,0.093157,0.079133
478,0.065799,0.097322,0.094259,0.081344
477,0.066715,0.097327,0.094789,0.08362
476,0.068005,0.098501,0.096191,0.086583
475,0.069255,0.099561,0.09735,0.089691
474,0.069877,0.100061,0.098245,0.092964
473,0.071163,0.101193,0.099198,0.096247
472,0.072725,0.102103,0.100687,0.100796
471,0.074473,0.103765,0.102259,0.106153
470,0.075832,0.104695,0.103363,0.111626
469,0.077681,0.105731,0.104521,0.118102
468,0.079502,0.107314,0.10622,0.125778
467,0.081446,0.108802,0.107712,0.133624
466,0.083907,0.110592,0.10918,0.143715
465,0.085935,0.112319,0.110987,0.154434
464,0.08806,0.113627,0.111663,0.166203
463,0.090627,0.115424,0.113532,0.179489
462,0.093219,0.116969,0.115064,0.19479
461,0.095969,0.118514,0.116856,0.212195
460,0.099041,0.120189,0.118287,0.229749
459,0.102267,0.122299,0.119906,0.249224
458,0.105836,0.124492,0.12181,0.269709
457,0.109551,0.126753,0.123485,0.290137
456,0.113781,0.129673,0.12569,0.309918
455,0.118479,0.132332,0.127981,0.329083
454,0.123251,0.135243,0.130642,0.346888
453,0.128202,0.138506,0.132964,0.361313
452,0.133977,0.141816,0.135865,0.373149
451,0.140036,0.145797,0.138826,0.381407
450,0.14635,0.149765,0.142689,0.386499
449,0.153896,0.154689,0.146491,0.38878
448,0.161266,0.159425,0.149764,0.385988
447,0.169583,0.165276,0.15419,0.381437
446,0.178837,0.170434,0.15855,0.373989
445,0.188216,0.177102,0.163166,0.365277
444,0.19941,0.184461,0.168559,0.355458
443,0.211103,0.19198,0.174547,0.344349
442,0.224015,0.200625,0.180517,0.333595
441,0.237811,0.210199,0.186793,0.322989
440,0.252819,0.219551,0.193465,0.313188
439,0.26961,0.231053,0.201237,0.304641
438,0.287289,0.243161,0.20854,0.296816
437,0.306212,0.255541,0.216777,0.291261
436,0.327055,0.26997,0.225808,0.287729
435,0.348409,0.283677,0.23423,0.285682
434,0.371774,0.299435,0.243807,0.286697
433,0.395811,0.315558,0.253907,0.290635
432,0.42226,0.332742,0.264803,0.298243
431,0.448267,0.350015,0.275088,0.308805
430,0.475952,0.368717,0.285907,0.32387
429,0.504232,0.387795,0.29735,0.344151
428,0.532745,0.406222,0.308949,0.36906
427,0.560311,0.42514,0.319136,0.398832
426,0.587555,0.443866,0.331036,0.435018
